id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng,distance,mainstore_id,created_at,updated_at
1,札幌北野店 | スターバックス,北海道,札幌市,清田区北野6条5丁目6-36,大谷地駅／４出口 徒歩23分,011-888-0035,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=1431,true,true,false,false,43.0154093,141.4515481,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
2,イオンモール札幌平岡店 | スターバックス,北海道,札幌市,清田区平岡三条5丁目3-1イオンモール札幌平岡,北広島インターチェンジより 約4.2km,011-889-5098,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=751,true,false,false,false,42.997239,141.458711,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
3,札幌石山店 | スターバックス,北海道,札幌市,南区石山2条9丁目7-50アクロスプラザ札幌南,メモ：・石山通り,011-594-2640,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=793,true,true,false,false,42.9604697,141.3147652,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
4,イオンモール札幌苗穂店 | スターバックス,北海道,札幌市,東区東苗穂2条3丁目1-1イオンモール札幌苗穂,雁来インターチェンジより 約2kmメモ：国道275線沿い,011-780-7679,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=505,true,false,false,false,43.0798532,141.4038107,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
5,函館ベイサイド店 | スターバックス,北海道,函館市,末広町24−6函館西波止場,函館駅北口 徒歩20分メモ：・函館ベイエリア 函館西波止場並び,0138-21-4522,08:00〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=1012,true,true,false,false,41.766429,140.715208,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
6,函館蔦屋書店 | スターバックス,北海道,函館市,石川町85-1,函館より 約2.6kmメモ：電車 桔梗駅から 徒歩 約30分バス 昭和停留所から 徒歩10分,0138-47-2246,07:00〜25:00,http://www.starbucks.co.jp/store/search/detail.php?id=2046,true,true,false,false,41.8307065,140.7356571,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
7,イオンモール苫小牧店 | スターバックス,北海道,苫小牧市,柳町3-1-20イオンモール苫小牧,沼ノ端西インターチェンジより 約7.1km,0144-51-3347,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=612,true,true,false,false,42.65633,141.642023,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
8,札幌グランドホテル店 | スターバックス,北海道,札幌市,中央区北1条西4丁目札幌グランドホテル1F,札幌駅／１１出口 徒歩4分札幌駅／１０出口 徒歩5分大通駅／７出口 徒歩5分,011-222-8060,"月〜金：07:00〜22:00
土日祝：07:30〜22:00",http://www.starbucks.co.jp/store/search/detail.php?id=333,true,true,false,false,43.0629881,141.3511041,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
9,札幌ステラプレイス イースト2階店 | スターバックス,北海道,札幌市,中央区北5条西2丁目5,札幌駅／バス停口出口 徒歩2分札幌駅／アピア地下街出入口出口 徒歩2分札幌駅／南口出口 徒歩2分,011-209-5554,10:00〜21:00,http://www.starbucks.co.jp/store/search/detail.php?id=1166,true,true,false,false,43.0682756,141.3524456,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
10,札幌紀伊國屋書店 | スターバックス,北海道,札幌市,中央区北5条西5丁目7sapporo55紀伊國屋書店内2階,さっぽろ駅／アピア地下街出入口出口 徒歩1分さっぽろ駅／アピア地下街Ａ出口 徒歩2分さっぽろ駅／アピア地下街Ｂ出口 徒歩2分,011-218-3351,10:00〜21:00,http://www.starbucks.co.jp/store/search/detail.php?id=1217,true,true,false,false,43.0672488,141.3485092,0,1,2018-08-03 11:41:52 UTC,2018-08-03 11:41:52 UTC
